,evento,ano,qualis,categoria
338,XIX Latin-Iberoamerican Conference on Operations Research - CLAIO,2018,-,conferencia
339,Encontro de Teoria da Computação (ETC 2020),2020,-,conferencia
340,2013 International Symposium on Rapid System Prototyping (RSP),,-,conferencia
341,Workshop de Sistemas Computacionais de Alto Desempenho - Simpósio em Sistemas Computacionais,2013,-,conferencia
342,28th IEEE International System-on-Chip Conference,2015,-,conferencia
343,the 32nd Symposium,2019,-,conferencia
344,2020 33rd Symposium on Integrated Circuits and Systems Design (SBCCI),2020,-,conferencia
345,2012 13th Symposium on Computer Systems XIII Simp sio de Sistemas Computacionais (WSCADSSC),,-,conferencia
346,Parallel and Distributed Techniques and Applications Conference,2001,-,conferencia
347,Workshop de Teses e Dissertações Defendidas,2001,-,conferencia
348,I WPerformance,2002,-,conferencia
349,IV Workshop de Sistemas Distribuidos y Paralelismo,2002,-,conferencia
350,XI Simpósio Internacional de Iniciação Científica da Universidade de São Paulo,2003,-,conferencia
351,V Workshop de Sistemas Computacionais de Alto Desempenho (WSCAD),2004,-,conferencia
352,International Workshop on Reconfigurable Architectures,2006,-,conferencia
353,17th IEEE International Conference on Application-specific Systems Architectures and Processors,2006,-,conferencia
354,XXXIX Simpósio Brasileiro de Pesquisa Operacional,2007,-,conferencia
355,II Workshop de Educação em Arquiteturas de Computadores,2007,-,conferencia
356,Brazilian Symposium on Programming Languages,2008,-,conferencia
357,Simpósio Brasileiro de Pesquisa Operacional,2008,-,conferencia
358,IX Simpósio em Sistemas Computacionais WSCAD-SSC,2008,-,conferencia
359,39th International Symposium on Multiple Valued Logic,2009,-,conferencia
360,XIII Simpósio Brasileiro de Linguagens de Programação,2009,-,conferencia
361,ALIO-INFORMS Joint International Meeting,2010,-,conferencia
362,XLII Simpósio Brasileiro de Pesquisa Operacional,2010,-,conferencia
363,WSCAD-WIC,2010,-,conferencia
364,2011 IEEE Second Latin American Symposium on Circuits and Systems (LASCAS),,-,conferencia
