,Unnamed: 0,evento,ano,qualis,match_sigla,conferencia_score,fuzz_token_sort_ratio
157,157,XLVI Simpósio Brasileiro de Pesquisa Operacional,2012.0,-,im,simposio brasileiro de pesquisa operacional,100
158,158,XIV Simpósio em Sistemas Computacionais (WSCAD-SSC),2013.0,-,iv,simposio de mecanica computacional,76
159,159,"2014 International Workshop on Programming Models and Applications for Multicores and Manycores, in conjunction with PPoPP '14 ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming",2014.0,-,er,acm sigplan symposium on principles and practice of parallel programming,100
160,160,2014 XL Latin American Computing Conference (CLEI),2014.0,-,latin,latin american networking conference,83
161,161,XLVI Simpósio Brasileiro de Pesquisa Operaciona,2014.0,-,im,simposio brasileiro de pesquisa operacional,99
162,162,2014 International Conference on Computational Science,2014.0,-,er,international conference on computational science,100
163,163,The 15th International Conference on Computational Science and Its Applications (ICCSA 2015),2015.0,-,er,international conference on computational science,100
164,164,International Conference on Computational Science - ICCS 2015,2015.0,-,er,international conference on computational science,100
165,165,16th International Conference Computational Science and Its Applications ? ICCSA 2016,2016.0,-,er,international conference on computational science and its applications,96
166,166,2016 28th International Symposium on Computer Architecture and High Performance Computing (SBACPAD),2016.0,-,er,international symposium on computer architecture,100
167,167,18th International Conference on High Performance Computing and Communications,2016.0,-,er,international conference on high performance computing and communications,100
168,168,2017 International Symposium on Computer Architecture and High Performance Computing Workshops (SBACPADW),2017.0,-,er,international symposium on computer architecture,100
169,169,Simpósio em Sistemas Computacionais de Alto Desempenho - WSCAD 2017,2017.0,-,im,simposio em sistemas computacionais de alto desempenho,100
170,170,30th International Symposium on Computer Architecture and High Performance Computing,2018.0,-,er,international symposium on computer architecture,100
171,171,International Conference on Algorithms and Architectures for Parallel Processing (ICA3PP),2007.0,-,er,international conference on algorithms and architectures for parallel processing,100
172,172,IEEE International Workshop on Genomic Signal Processing and Statistics,2009.0,-,er,international i*workshop,92
173,173,International Conference on Intelligent Systems for Molecular Biology,2006.0,-,er,brazilian conference on intelligent system,88
174,174,International Symposium on Bioinformatics Research and Applications,2010.0,-,er,international symposium on bioinformatics research and applications,100
175,175,1° Reunião da ABECO e 5° Simpósio de Ecologia Teórica,2016.0,-,re,workshop de tecnologia adaptativa,62
176,176,2018 International Conference on Computer Science and its Applications - ICCSA,2018.0,-,er,international conference on computer design,93
177,177,2018 International Conference on Computational Sciences and its Applications - ICCSA,2018.0,-,er,international conference on computational science,100
178,178,2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE),,-,er,ieee international conference on bioinformatics and bioengineering,94
179,179,VI Encontro de Iniciação Científica (Módulo PIBIC/CNPq: UFG-UFU-UFMS-UCG-UCDB),1996.0,-,cie,ieee scientific visualization,55
180,180,III SECICOM - Semana de Ciência da Computação,2000.0,-,sec,simposio de mecanica computacional,62
181,181,X Seminário Regional de Informática,2000.0,-,sem,simposio internacional de informatica educatica,71
182,182,I WORTEC - Workshop Regional de Tecnologia em Computação,2001.0,-,or,workshop de tecnologia adaptativa,70
183,183,International Conference on Parallel and Distributed Processing Techniques and Applications,2004.0,-,er,international conference on parallel and distributed processing techniques and applications,100
184,184,X Simpósio de Informática - SIMS 2005,2005.0,-,im,simposio de instrumentacao e imagens medicas,68
185,185,ICANNGA - International Conference on Adaptive and Natural Computing Algorithms,2005.0,-,icann,international cad conference,86
186,186,IV Congresso Iberdiscap: Tecnologias de Apoio a Portadores de Deficiência,2006.0,-,iv,congresso sobre tecnologias na educacao,69
187,187,Workshop de Dissertações de Mestrado em Andamento,2001.0,-,works,workshop iberchip,65
188,188,Euro PVM/MPI - European Parallel Virtual Machine and Message Passing Interface Conference,2003.0,-,euro,agile conference,81
189,189,I WTA - Workshop de Tecnologia Adaptativa,2007.0,-,wta,workshop de tecnologia adaptativa,100
190,190,III COMSULMT - Congresso de Computação do Sul de Mato Grosso,2007.0,-,om,seminario de computacao e mercado,64
191,191,III Workshop de Tecnologia Adaptativa - WTA2009,2009.0,-,works,workshop de tecnologia adaptativa,100
192,192,12o. Congresso Regional de Informática e Telecomunicações de Mato Grosso,2008.0,-,re,congresso brasileiro de informatica em saude,75
193,193,"I Feira de Tecnologias, Engenharias e Ciências de Mato Grosso do Sul - FETEC-MS",2011.0,-,ec,future technologies conference,60
194,194,"Feira de Tecnologia, Engenharia e Ciências de Mato Grosso do Sul (I FETEC-MS)",2011.0,-,ec,workshop de tecnologia adaptativa,58
195,195,XIII Sudeste PET,2013.0,-,pet,"international symposium on communication systems, networks and digital signal processing",56
196,196,XX Workshop de Informática na Escola (WIE 2014),2014.0,-,works,workshop de informatica na escola,100
197,197,X Workshop de Visão Computacional (WVC 2014),2014.0,-,works,workshop de visao computacional,100
198,198,Conference and Labs of the Evaluation Forum (CLEF 2014),2014.0,-,er,conference and labs of the evaluation forum,100
199,199,VIII Workshop de Tecnologia Adaptativa (WTA 2014),2014.0,-,works,workshop de tecnologia adaptativa,100
200,200,42o. Seminário Integrado de Software e Hardware (SEMISH 2015),2015.0,-,sem,seminario integrado de software e hardware,100
201,201,XXI Workshop de Informática na Escola,,-,works,workshop de informatica na escola,100
202,202,XXVI Simpósio Brasileiro de Informática na Educação,,-,im,simposio brasileiro de informatica na educacao,100
203,203,I Concurso Integrado de Desenvolvimento de Soluções de Tecnologia e Objetos de Aprendizagem para a Educação,,-,concur,workshop de desenvolvimento distribuido de software,63
204,204,Encontro de Extensão Universitária da UFMS (ENEX2014),2015.0,-,iv,workshop de testes e tolerancia a falhas,55
205,205,Encontro de Extensão Universitária da UFMS (ENEX2014),2014.0,-,iv,workshop de testes e tolerancia a falhas,55
206,206,X Congresso Brasileiro de Agroinformática (SBIAGRO 2015),2015.0,-,re,congresso brasileiro de agroinformatica,100
207,207,2016 XI Latin American Conference on Learning Objects and Technology (LACLO),2016.0,-,latin,latin american conference on learning objects and technologies,95
208,208,Computer on the Beach 2015,2015.0,-,om,computer on the beach,100
209,209,Workshops do Congresso Brasileiro de Informática na Educação,2016.0,-,works,workshops do congresso brasileiro de informatica na educacao,100
210,210,XXII Workshop de Informática na Escola,2016.0,-,works,workshop de informatica na escola,100
211,211,XXIV Ciclo de Palestras sobre Novas Tecnologias na Educação - CINTED 2016,2016.0,-,iv,congresso sobre tecnologias na educacao,82
212,212,Mostra Nacional de Robótica - MNR,2016.0,-,-,congresso internacional de ergonomia e usabilidade de interfaces humano computador,67
213,213,X Workshop de Tecnologia Adaptativa - WTA 2016,2016.0,-,works,workshop de tecnologia adaptativa,100
214,214,XI Workshop de Visão Computacional - WVC 2015,2015.0,-,works,workshop de visao computacional,100
215,215,I Encontro Centro-Oeste dos Grupos PET - ECOPET 2014,2014.0,-,pet,american control conference,52
216,216,Computer on the Beach,2019.0,-,om,computer on the beach,100
217,217,VIII Workshop de Desafios da Computação Aplicada à Educação - DesafIE,2019.0,-,works,workshop de desafios da computacao aplicada a educacao,100
218,218,Computer on the Beach,2021.0,-,om,computer on the beach,100
219,219,Workshop sobre Educação em Computação,2021.0,-,works,workshop sobre educacao em computacao,100
220,220,IGARSS 2019 2019 IEEE International Geoscience and Remote Sensing Symposium,2019.0,-,igarss,ieee international geoscience and remote sensing symposium,100
221,221,ENIAC - Encontro Nacional de Inteligência Artificial e Computacional,2017.0,-,eniac,encontro nacional de inteligencia artificial e computacional,100
222,222,Workshop de Tecnologia da Informação e Comunicação das Instituições Federais de Ensino Superior,2017.0,-,works,workshop de tecnologia da informacao e comunicacao das instituicoes federais de ensino superior do brasil,100
223,223,IV Fórum de Educação em Engenharia de Software/ II Congresso Brasileiro de Software: Teoria e Prática (CBSoft),2011.0,-,iv,congresso brasileiro de automatica,79
224,224,VII WAMPS - VII Workshop Anual do MPS,2011.0,-,am,workshop on exascale mpi,67
225,225,XXII SBIE - XXII Simpósio Brasileiro de Informática na Educação,2011.0,-,sbie,simposio brasileiro de informatica na educacao,100
226,226,XXIV CIUFLA - XXIV Congresso de Iniciação Científica da UFLA,2011.0,-,iv,congresso brasileiro de automatica,56
227,227,XI Simpósio Brasileiro de Qualidade de Software,2012.0,-,im,simposio brasileiro de qualidade de software,100
228,228,2012 IEEE 13th International Conference on Information Reuse &amp; Integration (IRI),,-,er,international conference on information fusion,91
229,229,25th International Conference on Software Engineering and Knowledge Engineering (SEKE),2013.0,-,er,international conference on software engineering,100
230,230,IV Congresso Brasileiro de Software: Teoria e Prática,2013.0,-,iv,congresso brasileiro de automatica,79
231,231,2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),2016.0,-,er,ieee international conference on software maintenance and evolution,100
232,232,Workshop on Experimental Software Engineering - CIbSE,2015.0,-,works,software engineering track,85
233,233,"V Workshop on Software Visualization, Evolution and Maintenance (VEM)",2017.0,-,works,"workshop on software visualization, evolution and maintenance",100
234,234,12th International Conference on Predictive Models and Data Analytics in Software Engineering,2016.0,-,er,international conference on predictive models and data analytics in software engineering,100
235,235,2013 20th Working Conference on Reverse Engineering (WCRE),2013.0,-,or,working conference on reverse engineering,100
236,236,15th International Conference on Computing,2006.0,-,er,acm international conference on computing frontiers,90
237,237,The Eleventh Annual International Computing and Combinatorics Conference (COCOON 2005),2005.0,-,er,international computing and combinatorics conference,100
238,238,"IV Latin-American Algorithms, Graphs and Optimization Symposium",2007.0,-,iv,"latin-american algorithms, graphs and optimization symposium",100
239,239,8th Workshop on Algorithms in Bioinformatics (WABI),2008.0,-,works,workshop on algorithms in bioinformatics,100
240,240,14th Workshop on Algorithms in Bioinformatics (WABI 2014),2014.0,-,works,workshop on algorithms in bioinformatics,100
241,241,9th Brazilian Symposium on Bioinformatics (BSB 2014),2014.0,-,or,brazilian symposium on bioinformatics,100
242,242,"16th Workshop on Algorithms in Bioinformatics (WABI),",2016.0,-,works,workshop on algorithms in bioinformatics,100
