,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
622,835,High Performance Computing and Simulation Conference (HPCS 2007),20070.0,-,conferencia,hpcs,"international performance, computing, and communications conference",social simulation conference,international conference on high performance computing & simulation,international conference on high performance computing & simulation,70.0,82.0,77.0,87.0,,B4,,A4,sort set,international conference on high performance computing & simulation,A4
623,841,The Seventh IEEE International Symposium on Cluster Computing and the Grid ? CCGrid 2007,20070.0,-,conferencia,cluster,"ieee/acm international symposium on cluster, cloud and grid computing",international symposium on visual computing,"ieee/acm international symposium on cluster, cloud and grid computing","ieee/acm international symposium on cluster, cloud and grid computing",70.0,86.0,81.0,92.0,,A3,A2,A2,ratio sort set,"ieee/acm international symposium on cluster, cloud and grid computing",A2
624,880,4th International Information and Telecommunication Technologies Symposium,20050.0,-,conferencia,-,international conference on application of information and communication technologies,international conference on telecommunications,"international conference on computer, information, and telecommunication systems",international symposium on information theory,70.0,80.0,71.0,88.0,,A4,,A1,partial,international conference on telecommunications,A4
625,950,"2nd International Conference on Power Engineering, Energy and Electrical Drives, POWERENG 2009",20090.0,-,conferencia,-,international conference on software engineering research and practice,international conference on web engineering,international conference on model-driven engineering and software development,international conference on web engineering,70.0,93.0,71.0,95.0,,A3,,A3,nulo,nao_tem,-
626,1001,III Workshop on Computational Grids and Applications,20050.0,-,conferencia,-,workshop on social network analysis in applications,workshop of urban computing,international workshop on rewriting logic and its applications,international conference on computational science and its applications,70.0,78.0,74.0,78.0,,,,,nulo,nao_tem,-
627,1023,VII Annual Conference on Writing and Computers,19950.0,-,conferencia,-,italian conference on theoretical computer science,agile conference,asian conference on computer vision,asian conference on computer vision,69.0,81.0,77.0,77.0,,A3,,,nulo,nao_tem,-
628,71,V Brazilian Symposium on Computer Games and Digital Entertainment,20060.0,-,conferencia,-,brazilian symposium on computing system engineering,brazilian symposium on formal methods,brazilian symposium on computing system engineering,brazilian symposium on bioinformatics,69.0,78.0,69.0,75.0,,,,,nulo,nao_tem,-
629,430,X Brazilian Symposium on Computer Games and Digital Entertainment,20110.0,-,conferencia,-,brazilian symposium on computing system engineering,brazilian symposium on formal methods,brazilian symposium on computing system engineering,brazilian symposium on bioinformatics,69.0,78.0,69.0,75.0,,,,,nulo,nao_tem,-
630,439,XI Simpósio Brasileiro de Sistemas Multimídia e Web - Qualis B Nacional,20050.0,-,conferencia,-,simposio brasileiro de sistemas de informacao,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas eletricos,simposio brasileiro de sistemas eletricos,69.0,85.0,71.0,86.0,,B4,,B4,nulo,nao_tem,-
631,453,MEDINFO 2015 - 15th World Congress on Health and Biomedical Informatics,20150.0,-,conferencia,medinfo,world congress on medical and health informatics,world congress on medical and health informatics,world congress on medical and health informatics,world congress on medical and health informatics,69.0,79.0,77.0,91.0,,,,A3,all,world congress on medical and health informatics,A3
632,510,Third International Workshop on Experimental and Efficient Algorithms (WEA),20040.0,-,conferencia,-,international workshop on intelligent and resilient cities,international i*workshop,international workshop on combinatorial algorithms,international i*workshop,69.0,92.0,73.0,96.0,,B4,,B4,nulo,nao_tem,-
633,591,Simpósio Internacional de Iniciação Científica da USP - SIICUSP,20030.0,-,conferencia,-,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,69.0,79.0,63.0,69.0,,,,,nulo,nao_tem,-
634,620,Simpósio Internacional de Iniciação Científica da USP - SIICUSP,20040.0,-,conferencia,-,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,simposio internacional de informatica educatica,69.0,79.0,63.0,69.0,,,,,nulo,nao_tem,-
635,630,Workshop de Aplicações de Realidade Virtual,20060.0,-,conferencia,-,workshop de realidade virtual e aumentada,workshop de gestao de identidades digitais,workshop de realidade virtual e aumentada,workshop de realidade virtual e aumentada,69.0,67.0,81.0,84.0,,,B4,B4,ratio sort set,workshop de realidade virtual e aumentada,B4
636,635,10th International Congress on Molecular Plant-Microbe Interactions,20010.0,-,conferencia,-,international conference on human-computer interaction,international conference on modularity,international conference on microelectronics,ieee international congress on bigdata,69.0,76.0,65.0,79.0,,,,,nulo,nao_tem,-
637,810,I Simpósio de Biotecnologia da UFSCar,20070.0,-,conferencia,-,simposio brasileiro de tecnologia da informacao,simposio brasileiro de tecnologia da informacao,simposio brasileiro de qualidade de software,simposio brasileiro de tecnologia da informacao,69.0,70.0,59.0,67.0,,,,,nulo,nao_tem,-
638,854,Brazilian Summer School on Combinatorics and Algorithms,20010.0,-,conferencia,-,international workshop on combinatorial algorithms,international workshop on combinatorial algorithms,brazilian workshop on social network analysis and mining,brazilian symposium on geoinformatics,69.0,70.0,61.0,65.0,,,,,nulo,nao_tem,-
639,860,ACM 7th International conference on Management of computational and collective Intelligence in Digital EcoSystems (MEDES?15),20150.0,-,conferencia,medes,international conference on management of emergent digital ecosystems,international cad conference,international conference on management of emergent digital ecosystems,international joint conference on computational intelligence,68.0,86.0,68.0,95.0,,B2,,B3,nulo,nao_tem,-
640,43,9th International Workshop on Peer-to-Peer Systems (IPTPS'10),20100.0,-,conferencia,-,international workshop on software ecosystems,international i*workshop,international workshop on document analysis systems,international i*workshop,68.0,92.0,65.0,96.0,,B4,,B4,nulo,nao_tem,-
641,51,Parallel and Distributed Techniques and Applications Conference,20010.0,-,conferencia,-,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,international conference on parallel and distributed processing techniques and applications,68.0,83.0,82.0,100.0,,B2,B2,B2,all,international conference on parallel and distributed processing techniques and applications,B2
642,346,2nd International Workshop on Variability & Composition (VariComp),20110.0,-,conferencia,-,international workshop on algorithms and computation,international i*workshop,international workshop on computational semantics,international i*workshop,68.0,92.0,70.0,96.0,,B4,,B4,nulo,nao_tem,-
643,388,VI Brazilian Symposium on Computer Games and Digital Entertainment,20070.0,-,conferencia,-,brazilian symposium on computing system engineering,brazilian symposium on formal methods,brazilian symposium on computing system engineering,brazilian symposium on bioinformatics,68.0,78.0,68.0,75.0,,,,,nulo,nao_tem,-
644,432,XI Brazilian Symposium on Computer Games and Digital Entertainment,20120.0,-,conferencia,-,brazilian symposium on computing system engineering,brazilian symposium on formal methods,brazilian symposium on computing system engineering,brazilian symposium on bioinformatics,68.0,78.0,68.0,75.0,,,,,nulo,nao_tem,-
645,441,XXV Simpósio Brasileiro de Engenharia de Software - Trilha Especial,20110.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,68.0,84.0,72.0,86.0,,B1,,B1,nulo,nao_tem,-
646,458,I Simpósio Brasileiro de Pecuária de Precisão Aplicada à Bovinocultura de corte,20140.0,-,conferencia,-,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,68.0,84.0,64.0,83.0,,B1,,B1,nulo,nao_tem,-
647,508,Jornadas Iberoamericanas de Ingeniería del Software e Ingeniería del Conocimiento,20040.0,-,conferencia,-,workshop latinoamericano de ingenieria de software experimental,simposio latinoamericano de ingenieria de software,workshop latinoamericano de ingenieria de software experimental,workshop latinoamericano de ingenieria de software experimental,68.0,78.0,57.0,70.0,,,,,nulo,nao_tem,-
648,627,2010 17th IEEE International Conference and Workshops on Engineering of Computer Based Systems,,-,conferencia,-,international workshop on engineering multiagent systems,ieee international conference on rfid,ieee/acm international conference on automated software engineering,ieee international systems conference,68.0,89.0,71.0,100.0,,A4,,A4,nulo,nao_tem,-
649,653,Workshop on Tools and Applications - 23th Brazilian Symposium on Multimedia and the Web,20170.0,-,conferencia,-,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,brazilian symposium on multimedia and the web,68.0,100.0,69.0,100.0,,A4,,A4,all,brazilian symposium on multimedia and the web,A4
650,758,"High Performance Computing and Communications, Third International Conference, HPCC 2007",20070.0,-,conferencia,hpcc,"international performance, computing, and communications conference",international cad conference,international conference on high performance computing and communications,"international performance, computing, and communications conference",68.0,86.0,88.0,100.0,,B2,A3,B1,sort,international conference on high performance computing and communications,A3
651,802,Workshop Internacional de Combinatória,19960.0,-,conferencia,-,congreso internacional de informatica educativa,workshop iberchip,international workshop on combinatorial algorithms,international workshop on combinatorial algorithms,68.0,76.0,77.0,77.0,,,,,nulo,nao_tem,-
652,861,"Sessão de Ferramentas, Simpósio Brasileiro de Engenharia de Software",20060.0,-,conferencia,-,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,simposio brasileiro de qualidade de software,68.0,84.0,70.0,86.0,,B1,,B1,nulo,nao_tem,-
