;id_lattes;nome;sexo;idade_academica;quantidade_producoes;producoes_por_idade;nota_qualis;precisao_nota_qualis;softwares_participacao;orientacoes;orientacoes_por_idade;instituicao_trabalho;estado_instituicao_trabalho;graduacao;ano_graduacao;posdoc;ano_posdoc;mestrado;ano_mestrado;doutorado;ano_doutorado;ATIVIDADES_DE_DIRECAO_E_ADMINISTRACAO;ATIVIDADES_DE_PESQUISA_E_DESENVOLVIMENTO;ATIVIDADES_DE_ENSINO;ATIVIDADES_DE_EXTENSAO_UNIVERSITARIA;ATIVIDADES_DE_PARTICIPACAO_EM_PROJETO;grande_area_conhecimento;area_conhecimento;subarea_conhecimento
58;5746822816259454;Pedro Jussieu de Rezende;M;45;59;1.3111111111111111;19.35;0.7627118644067796;9;15;0.3333333333333333;Universidade Estadual de Campinas;SP;Matemática;1977;;2007;Matemática;1979;Computer Science;1988;0;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
59;5878235526936399;Eraldo Luís Rezende Fernandes;M;20;27;1.35;12.6;0.7037037037037037;4;5;0.25;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2002;;;Informática;2005;Informática;2012;0;1;2;0;3;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
60;5908528174778863;Victor Leonardo Yoshimura;M;13;9;0.6923076923076923;0.925;0.7777777777777778;0;6;0.46153846153846156;Universidade Federal de Mato Grosso do Sul;MS;Licenciatura Plena Em Matemática;2009;;;Engenharia Elétrica;2002;Engenharia Elétrica;2013;0;0;1;0;0;ENGENHARIAS;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
61;5920220519650965;Fábio Iaione;M;26;41;1.5769230769230769;3.0;0.36585365853658536;3;7;0.2692307692307692;Universidade Federal de Mato Grosso do Sul;MS;Engenharia Elétrica;1996;;;Engenharia Elétrica;1998;Engenharia Elétrica;2003;0;2;0;0;0;ENGENHARIAS;Engenharia Elétrica;"Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação"
62;6034522313829097;Fábio Luiz Usberti;M;12;42;3.5;5.45;0.7380952380952381;7;6;0.5;Universidade Estadual de Campinas;SP;Ciência da Computação;2010;;2013;Engenharia Elétrica;2007;Engenharia Elétrica;2012;2;0;4;1;7;ENGENHARIAS;Engenharia de Produção;Pesquisa Operacional
63;6311632162541654;Amaury Antônio de Castro Junior;M;25;42;1.68;5.9;0.5238095238095238;7;6;0.24;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;1997;;;Ciência da Computação;2003;Engenharia Elétrica;2009;11;2;6;9;15;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
64;6444798527221795;Henrique Mongelli;M;33;24;0.7272727272727273;6.9750000000000005;0.6666666666666667;0;7;0.21212121212121213;Universidade Federal de Mato Grosso do Sul;MS;Licenciatura Plena em Matemática;1989;;2016;Matemática Aplicada;1995;Ciências da Computação;2000;9;1;29;3;16;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
65;6499108085922209;Jacques Wainer;M;40;82;2.05;23.0;0.5365853658536586;5;7;0.175;Universidade Estadual de Campinas;SP;Engenharia Eletronica;1982;;;;;Department Of Computer Science;1991;0;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Inteligência Artificial
66;6824400602221355;Jorge Stolfi;M;49;59;1.2040816326530612;17.625;0.5932203389830508;6;4;0.08163265306122448;Universidade Estadual de Campinas;SP;Engenharia Eletrônica;1973;;;Matemática Aplicada;1979;Ph. D. in Computer Science;1988;4;2;2;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
67;6903922865972561;Luiz Eduardo Buzato;M;37;50;1.3513513513513513;14.15;0.5;7;14;0.3783783783783784;Universidade Estadual de Campinas;SP;Ciência da Computação (Científico-Industrial);1985;;2008;Ciência da Computação;1990;Ciência da Computação;1994;7;1;2;2;10;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
68;6947551604323520;Islene Calciolari Garcia;F;27;38;1.4074074074074074;13.774999999999999;0.6052631578947368;0;6;0.2222222222222222;Universidade Estadual de Campinas;SP;Engenharia de Computação;1995;;;Ciência da Computação;1998;Ciência da Computação;2001;11;1;2;1;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
69;6970175851174735;Ricardo Ribeiro dos Santos;M;23;44;1.9130434782608696;12.2;0.6818181818181819;7;5;0.21739130434782608;Universidade Federal de Mato Grosso do Sul;MS;Ciências da Computação;1999;;2018;Ciências da Computação e Matemática Computacional;2001;Ciência da Computação;2007;2;1;6;1;7;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
70;7109611749276343;Nahri Balesdent Moreano;;32;21;0.65625;4.2749999999999995;0.47619047619047616;14;7;0.21875;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado em Informática;1990;;2009;Engenharia de Sistemas e Computação;1994;Ciência da Computação;2005;7;1;3;1;22;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
71;7229085630357788;Rafael Crivellari Saliba Schouery;M;14;16;1.1428571428571428;3.15;0.5625;5;4;0.2857142857142857;Universidade Estadual de Campinas;SP;Bacharelado Em Ciência da Computação;2008;;2016;;;Ciencia da Computacao;2014;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
72;7372808441783055;Valéria Quadros dos Reis;F;20;9;0.45;1.675;0.4444444444444444;8;2;0.1;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2002;;2011;Ciências da Computação e Matemática Computacional;2005;Informática;2010;2;2;11;0;6;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Informática na Educação
73;7454923215447636;Hana Karina Salles Rubinsztejn;F;23;26;1.1304347826086956;4.050000000000001;0.46153846153846156;9;4;0.17391304347826086;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;1999;;;Ciência da Computação;2001;Informática;2007;0;1;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
74;7533729699758819;Alexandre Xavier Falcão;M;34;141;4.147058823529412;68.175;0.7304964539007093;8;13;0.38235294117647056;Universidade Estadual de Campinas;SP;Engenharia Elétrica;1988;;;Engenharia Elétrica;1993;Engenharia Elétrica;1996;4;1;42;5;23;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
