,producoes
1162," stefanes, marco a.; rubert, d. p. ; soares, j.  . coarse grained parallel algorithm for hamiltonian circuit in convex  bipartite graphs. in: international conference on parallel and  distributed processing techniques and applications (pdpta), 2015, l.  vegas. proceedings of the international conference on parallel and  distributed processing techniques and applications - pdpta 2015, 2015.  p. 381-387.  "
1163," araujo, eloi ; stefanes, marco a.  . some results on topological colored motifs in metabolic networks. in:  2013 ieee 13th international conference on bioinformatics and  bioengineering (bibe), 2013, chania. 13th ieee international conference  on bioinformatics and bioengineering, 2013. p. 1.  "
1164," higa, d. r. ; stefanes, marco a. .  a coarse-grained parallel algorithm for the matrix chain order problem.  in: hpc 12 high performance computing sysposium, 2012, orlando, fl.  proceedings of the 2012 symposium on high performance computing. san  diego, ca: society for computer simulation international, 2012. p.  58-65.  "
1165," adi, s.s ; braga, m.d.v. ; fernandes, c. g. ; ferreira, c. e. ; martinez, f.h.v. ; m.-f. sagot ; stefanes, m. a.  ; tjandraatmadja, c. ; wakabayashi, y. . repetition-free longest common  subsequence. in: v latin american algorithms, graphs, and optimization  symposium, 2007, puerto varas. electronic notes in discrete mathematics,  2007. v. 1. p. 1-9.  "
1166," stefanes, m. a.; soares, j.  . bsp/cgm algorithm for maximum matching in convex bipartite graph. in:  sbac-pad, 2003, sao paulo. ieee conference proceedings, 2003.  "
1167," stefanes, m. a.; soares, j.  . coarse grained parallel maximum independent set in convex bipartite  graphs. in: pdpta, 2001, las vegas. proc. of pdpta'2001, 2001. v. i. p.  527-533.  "
1168," stefanes, m. a.; soares, j.  . algoritmo assincrono para floresta geradora minima. in: wpoc, 1998,  buzios. workshop em paralelismo e otimizacao combinatoria - wpoc, 1998.  v. i. p. 1-4.  "
1169," 0.513ma, j. c. w. k. ; stefanes, marco a.  ; higa, c. h. a. ; rozante, l. c. s. . inferring gene regulatory  networks using hybrid parallel computing. lecture notes in computer  science, 2018.  "
1170," stefanes, marco a.;  alvino, l. . a hybrid parallel implementation for the maximum flow  problem. 2018. (apresentacao de trabalho/conferencia ou palestra).  "
1171," araujo, e. ; stefanes, marco a. ;  ferlete, v. o. ; rozante, l. c. s. . multiple sequence alignment using  hybrid parallel computing. 2017. (apresentacao de trabalho/conferencia  ou palestra).  "
1172," stefanes, marco a.. topological colored motifs in reaction graphs. 2014. (apresentacao de trabalho/conferencia ou palestra).  "
1173," stefanes, marco a.;  eloi soares . some results on topological colored motifs in metabolic  networks. 2013. (apresentacao de trabalho/conferencia ou palestra).  "
1174," stefanes, marco a.. membro do comite avaliador do congresso nacional de matematica aplicada e computacional-cnmac. 2017.  "
1175," stefanes, marco a.; higa, c. h.  a.; ribas, a. c. a..  participacao em banca de mariana caravanti de  souza. engenharia reversa de redes de regulacao genica por meio de  modelos graficos probabilisticos. 2018. dissertacao (mestrado em ciencia  da computacao) - universidade federal de mato grosso do sul.  "
1176," moreano, n. b.; stefanes, marco a.;  dantas, b..  participacao em banca de leandro bomkoski feuser. solucoes  paralelas para o problema da selecao de segmentos. 2018. dissertacao  (mestrado em ciencia da computacao) - universidade federal de mato  grosso do sul.  "
1177," stefanes, marco a.; rozante, l. c.  s.; higa, c. h. a..  participacao em banca de jean carlo wai keung ma..  inferencia de redes de regulacao genica usando computacao parelela  hibrida. 2017. dissertacao (mestrado em ciencia da computacao) -  universidade federal de mato grosso do sul.  "
1178," rozante, l. c. s.; song, s. w.; stefanes, marco a..   participacao em banca de fabrizio ferreira borelli. inferencia de  redes de regulacao genica usando algoritmo de busca exaustiva em  clusters de gpus. 2013 - universidade federal do abc.  "
1179," stefanes, m. a.; goldman, a.;  hoshino, e. a..  participacao em banca de roberto aragy xavier junior.  algoritmo bsp/cgm para o problema de fluxo maximo em rede. 2010.  dissertacao (mestrado em ciencia da computacao) - universidade federal  de mato grosso do sul.  "
1180," pagliosa, p. a.; clua, e. g.; stefanes, marco a..   participacao em banca de marcos aurelio martins. tracado de raios para  cenas dinamicas em cuda. 2010. dissertacao (mestrado em ciencia da  computacao) - universidade federal de mato grosso do sul.  "
1181," martinez, fabio viduani; stefanes, marco a.;  song, s. w..  participacao em banca de claudia regina tinos peviani.  algoritmos paralelos realisticos para a maior subsequencia comum. 2009.  dissertacao (mestrado em ciencia da computacao) - universidade federal  de mato grosso do sul.  "
1182," stefanes, m. a..   participacao em banca de robson rossettini de andrade costa. consulta  de resultados eleitorais. 2004. monografia  (aperfeicoamento/especializacao em especializacao em engenharia de  websites)  - universidade federal de mato grosso do sul.  "
1183," stefanes, marco a..  participacao  em banca de diego m. s. zikemura, marcel s. lopes e marcio d.  pereira.implementacao e avaliacao de desempenho de infraestrutura de  nuvem privada em ambiente de cluster. 							2011. trabalho de conclusao de curso (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul.  "
1184," stefanes, marco a..  participacao  em banca de diogo f. santos, leonardo c. kameya e robson l.  oliveira.implementacao de assinaturas digitais utilizando funcoes hash. 							2011. trabalho de conclusao de curso (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul.  "
1185," stefanes, marco a..  participacao  em banca de ivan caldeira sanches e luiz alexandre pacini.implementacao  paralela de problemas em grafos bipartidos convexos. 							2011. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1186," pagliosa, p. a.; stefanes, marco a..   participacao em banca de ilieser tamagmo e rafael freitas  schmid.analise estatica de solidos elasticos pelo metodo dos elementos  finitos em cuda. 							2010. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1187," adi, s.s; stefanes, marco a..   participacao em banca de habib asseiss neto e sergio ronaldo alves de  sousa junior.classificacao de sequencias de rnas nao-codificnates  atraves da distancia de compressao normalizada. 							2008. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1188," stefanes, marco a.; rubinsztejn,  h. k. s..  participacao em banca de alessando dos santos ferreira e  letricia pereira s. avalhais.algoritmos bsp/cgm para arvore geradora  minima. 							2008.  "
1189," stefanes, m. a.;  sotoma, i..  participacao em banca de jose ricardo da silva.estudo  detalhado da ferramenta nmap e formas de protecao em sistemas gnu/linux. 							2006. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1190," stefanes, m. a..  participacao em banca de max de paula brites.criptografia utilizando o sistema rsa. 							2005. trabalho de conclusao de curso (graduacao em analise de sistemas)  - universidade federal de mato grosso do sul.  "
1191," stefanes, m. a..  participacao em banca de robero aragy xavier junior.algoritmos paralelos para arvores geradoras minimas. 							2005. trabalho de conclusao de curso (graduacao em analise de sistemas)  - universidade federal de mato grosso do sul.  "
1192," stefanes, m. a..  participacao em banca de guilherme francisco somera.problema do fluxo maximo. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1193," stefanes, m. a.; mongelli, h..  participacao em banca de renata dos santos rodrigues.um algoritmo cgm para o problema ansv. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1194," stefanes, m. a..   participacao em banca de andrea tieme nakasato.algoritmo genetico  aplicado ao problema de localizacao da cobertura maxima capacitada. 							2003. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1195," stefanes, m. a..  participacao em banca de pedro miranda.sistema de controle difuso de mamdani - aplicacoes: pendulo invertido e outras. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1196," adi, s.s; hoshino, e. a.; stefanes, m. a.. concurso publico para ingresso na carreira de magisterio superior. 							2010. universidade federal de mato grosso do sul.  "
1197," duenha, l. d.; lucina montera cheung; stefanes, marco a.. participacao em banca de concurso professor de nivel superior. 							2009. universidade federal de mato grosso do sul.  "
1198," stefanes, marco a.. banca examinadora de concurso para magisterio de nivel superior. 							2008. universidade federal de mato grosso do sul.  "
1199," stefanes, m. a.;  silva, carlos alberto da; nakazato, karen k. banca examinadora do  concurso publico para ingresso na carreia do magisterio superior da  ufms. 							2006. universidade federal de mato grosso do sul.  "
1200," stefanes, m. a.. banca examinadora de concurso para magisterio de nivel superior. 							2004. universidade estadual de mato grosso do sul.  "
1201," pagliosa, p. a.; stefanes, m. a.; carromeu, c.. banca para selecao de professor substituto. 							2010. 							universidade federal de mato grosso do sul.  "
1202," caceres, e. n.; mongelli, h.; stefanes, marco a.. sbac/wscad. 							2008. 							sociedade brasileira de computacao - porto alegre.  "
1203, 24th recomb international conference on research in computational molecular biology co. 							2020. (simposio).  					 
1204, iii seminario nacional sobre a bncc: uma  outra base e possivel.iii seminario nacional sobre a bncc: uma outra  base e possivel. 2019. (seminario).  
1205, intl. symposium on computer architecture and high performance computingpng. 							2019. (simposio).  					 
1206," pdp 2018 - the 26th euromicro  international conference on parallel, distributed and network-based  processing..hybrid parallel implementation for the maximum flow problem. 							2018. (simposio).  					 "
1207, 17th ieee bibe.miltiple sequence aligniment using hybrid parallel computing. 							2017. (simposio).  					 
1208, wba 2014 - workshop in bioinformatics and algorithms phs ..topological colored motifs in reaction graphs. 2014. (oficina).  					 
1209, 13th ieee bibe.some results on topological colored motifs in metabolic networks. 							2013. (simposio).  					 
1210, wba 2012 - workshop in bioinformatics and algorithms. 2012. (oficina).  					 
1211, iv consegi 2011 - iv congresso internacional software livre e governo eletronico. 2011. (congresso).  
1212, iii consegi 2010 - iii congresso internacional software livre e governo eletronico. 2010. (congresso).  
1213, wba 2010 - workshop in bioinformatics and algorithms.. 2010. (oficina).  					 
1214, ctic/sbc. apresentacao dos tres primerios colocados. 2006. (congresso).  
1215, wcompa.moderacao da apresentacao dos trabalhos. 2006. (outra).  					 
1216," stefanes, marco a.; bianchini, c. . 14th marathon of parallel programming /wscad 2019. 2019. (concurso).  "
1217," stefanes, marco a.; araujo, f. e. s. . vi ciclo de palestras em computacao. 2018. (outro).  "
1218," stefanes, marco a.; reis, v. q. ; rubinsztejn, h. k. s. ; sotoma, i. . v workshop de computacao paralela e distribuida. 2018. (congresso).  "
1219," stefanes, marco a.; araujo, f. e. s. . v ciclo de palestras em computacao. 2017. (outro).  "
1220," stefanes, marco a.;  ishii, r. p. ; rubinsztejn, h. k. s. ; silva junior, b. a. ; reis, v.  q. ; caceres, e. n. . iv workshop de computacao paralela e distribuida.  2013. (congresso).  "
1221," stefanes, marco a.. iii ciclo de palestras em computacao. 2013. (outro).  "
1222," stefanes, marco a.. iii wcpd. 2011. (congresso).  "
1223," stefanes, marco a.. ciclo de palestras em computacao ii. 2011. (outro).  "
1224," stefanes, marco a.. ciclo de palestras em computacao. 2010. (outro).  "
1225," stefanes, marco a.. ii workshop de computacao paralela e distribuida. 2009. (congresso).  "
1226," mongelli, h. ; caceres, e. n. ; stefanes, marco a. . wscad/ctic. 2008. (concurso).  "
1227," stefanes, marco a.. workshop de computacao paralela e distribuida. 2007. (congresso).  "
1228," stefanes, m. a.; martinez, f. h. v. . ctic. 2006. (concurso).  "
1229, rodrigo albuquerque de oliveira siqueira. alinhamento de varias seqencias usando varias gpus. 						inicio: 2018. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
1230, hercules cardoso da silva. previsao do tempo em alta resolucao para o mato grosso do sul usando wrf em gpu. 						inicio: 2018. tese (doutorado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
1231," jean  carlo wai keung ma. inferencia de redes de regulacao genicas usando  computacao paralela hibrida. 							2017. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, conselho nacional de desenvolvimento  cientifico e tecnologico. orientador: marco aurelio stefanes.  "
1232," luiz  fernando alvino. problema do fluxo maximo em redes utilizando openmp e  cuda. 							2015. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, . orientador: marco aurelio stefanes.  "
1233," valter  de oliveira ferlete. alinhamento de varias sequencias utilizando  arquiteturas paralelas hibridas. 							2015. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, . orientador: marco aurelio stefanes.  "
1234," pedro  henrique neves da silva. algoritmos paralelos para alinhamento de  sequencias. 							2014. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, conselho nacional de desenvolvimento  cientifico e tecnologico. orientador: marco aurelio stefanes.  "
1235," roberto  aragy xavier junior. algoritmo bsp/cgm para o problema de fluxo maximo  em rede. 							2010. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, . orientador: marco aurelio stefanes.  "
1236," claudia  regina tinos peviani. algoritmos paralelos realisticos para a maior  subsequencia comum. 							2009. 						 					dissertacao  (mestrado em ciencia da computacao)  - universidade  federal de mato grosso do sul, . orientador: marco aurelio stefanes.  "
1237, nilson dotta. 							sistema de matricula da ufms para internet. 							2005. 57 f. 							monografia. (aperfeicoamento/especializacao em especializacao em  engenharia de websites)  - universidade federal de mato grosso do sul.  orientador: marco aurelio stefanes. 						 
1238, sidnei oshiro. 							g-inf: uso da tecnologia web para apoio a tomada de decisoes em  hospitais. 							2004. 							monografia. (aperfeicoamento/especializacao em especializacao em  engenharia de websites)  - universidade federal de mato grosso do sul.  orientador: marco aurelio stefanes. 						 
1239, rafael  kendy arakaki. 							algoritmo paralalo para o problema da maior subssequencia comum  (lcs) em cuda. 							2014. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1240, alan  magno de jesus. 							avaliacao de desempenho em aplicacoes no eucalyptus. 							2013. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1241, luiz  alexandre pacini rabelo. 							implementacao paralela de problemas em grafos bipartidos  convexos. 							2011. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1242, diego  milhomem santos zikemura. 							{implementacao e avaliacao de desempenho de infraestrutura de  nuvem privada em ambiente de cluster. 							2011. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1243, paulo barros alencar. 							avaliacao comparativa da arquitetura simd/cuda. 							2009. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1244, oziel vilalba junior e elder da silva  mendes. 							sistemas criptograficos e esquemas de assinaturas. 							2009. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1245, alessando dos santos ferreira e letricia  pereira s. avalhais. 							algoritmos bsp/cgm para arvore geradora minima. 							2008. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1246, max de paula brites. 							criptografia utilizando o sistema rsa. 							2005. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1247, robero aragy xavier junior. 							algoritmos paralelos para arvores geradoras minimas. 							2005. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  marco aurelio stefanes. 						 
1248," patrick yuri shinzato. 							transporte do sistema linux para plataforma mips. 							2007. 							iniciacao cientifica. (graduando em ciencia da computacao)  - universidade federal de mato grosso do sul, 							conselho nacional de desenvolvimento cientifico e tecnologico. orientador: marco aurelio stefanes. 						 "
1249," stefanes, marco a.;  ishii, r. p. ; rubinsztejn, h. k. s. ; silva junior, b. a. ; reis, v.  q. ; caceres, e. n. . iv workshop de computacao paralela e distribuida.  2013. (congresso).  "
1250," stefanes, marco a.; bianchini, c. . 14th marathon of parallel programming /wscad 2019. 2019. (concurso).  "
1251,"0.843rubert, diego p.2020  rubert, diego p. ; araujo, eloi ; stefanes, marco a.  ; stoye, jens ; martinez, fabio v. . searching and inferring colorful  topological motifs in vertex-colored graphs. journal of combinatorial  optimization (dordrecht. online), v. 40, p. 379-411, 2020.  "
1252," 0.747stefanes, marco a.2020  stefanes, marco a.; rubert, diego p. ; soares, jose  . scalable parallel algorithms for maximum matching and hamiltonian  circuit in convex bipartite graphs. theoretical computer science, v. 804, p. 58-71, 2020.  "
1253," 0.843rubert, diego p.2020  rubert, diego p. ; araujo, eloi ; stefanes, marco a.  ; stoye, jens ; martinez, fabio v. . searching and inferring colorful  topological motifs in vertex-colored graphs. journal of combinatorial  optimization (dordrecht. online), v. 40, p. 379-411, 2020.  "
1254," 1.041adi, said s.2010  adi, said s. ; braga, marilia d.v. ; fernandes, cristina g. ; ferreira, carlos e. ; martinez, fabio viduani ; sagot, marie-france ; stefanes, marco a. ; tjandraatmadja, christian ; wakabayashi, yoshiko . repetition-free longest common subsequence. discrete applied mathematics, v. 158, p. 1315-1324, 2010. citacoes:19|12 "
1255," 0.65soares, jose2009  soares, jose ; stefanes, m. a. . algorithms for maximum independent set in convex bipartite graphs. algorithmica, v. 53, p. 35-49, 2009. citacoes:9|6 "
1256," rocha, lucas b. ; sadique adi, said ; stefanes, marco a.  ; araujo, eloi . heuristics for the specific substring problem with  hamming distance. in: 2019 ieee 19th international conference on  bioinformatics and bioengineering (bibe), 2019, athens. 2019 ieee 19th  international conference on bioinformatics and bioengineering (bibe),  2019. p. 250-257.  "
1257," stefanes, marco aurelio;  alvino, luiz fernando . a hybrid parallel implementation for the  maximum flow problem. in: 2018 26th euromicro international conference  on parallel, distributed and networkbased processing (pdp), 2018,  cambridge. 2018 26th euromicro international conference on parallel,  distributed and network-based processing (pdp), 2018. v. 1. p. 229-233.  "
1258," higa, c. h. a. ; rozante, l. c. s. ; ma, j. c. w. k. ; stefanes, marco a.  . inferring gene regulatory networks using hybrid parallel computing.  in: 2018 international conference on computer science and its  applications - iccsa 2018, 2018, melbourne. computational science and  its applications iccsa 2018 - lncs, 2018. p. 151-166.  "
1259,"   araujo, eloi ; stefanes, marco a.  ; o. ferlete, valter de ; rozante, luiz c. s. . multiple sequence  alignment using hybrid parallel computing. in: 2017 ieee 17th  international conference on bioinformatics and bioengineering (bibe),  2017, washington. 2017 ieee 17th international conference on  bioinformatics and bioengineering (bibe), 2017. p. 175-8.  "
1260," rubert, diego p. ; araujo, eloi ; stefanes, marco a.  . simbio: searching and inferring colorful motifs in biological  networks. in: 2015 ieee 15th international conference on bioinformatics  and bioengineering (bibe), 2015, belgrade. 2015 ieee 15th international  conference on bioinformatics and bioengineering (bibe), 2015. p. 1.  "
1261," stefanes, marco a.; rubert, d. p. ; soares, j.  . coarse grained parallel algorithm for hamiltonian circuit in convex  bipartite graphs. in: international conference on parallel and  distributed processing techniques and applications (pdpta), 2015, l.  vegas. proceedings of the international conference on parallel and  distributed processing techniques and applications - pdpta 2015, 2015.  p. 381-387.  "
1262," araujo, eloi ; stefanes, marco a.  . some results on topological colored motifs in metabolic networks. in:  2013 ieee 13th international conference on bioinformatics and  bioengineering (bibe), 2013, chania. 13th ieee international conference  on bioinformatics and bioengineering, 2013. p. 1.  "
1263," higa, d. r. ; stefanes, marco a. .  a coarse-grained parallel algorithm for the matrix chain order problem.  in: hpc 12 high performance computing sysposium, 2012, orlando, fl.  proceedings of the 2012 symposium on high performance computing. san  diego, ca: society for computer simulation international, 2012. p.  58-65.  "
1264," adi, s.s ; braga, m.d.v. ; fernandes, c. g. ; ferreira, c. e. ; martinez, f.h.v. ; m.-f. sagot ; stefanes, m. a.  ; tjandraatmadja, c. ; wakabayashi, y. . repetition-free longest common  subsequence. in: v latin american algorithms, graphs, and optimization  symposium, 2007, puerto varas. electronic notes in discrete mathematics,  2007. v. 1. p. 1-9.  "
1265," stefanes, m. a.; soares, j.  . bsp/cgm algorithm for maximum matching in convex bipartite graph. in:  sbac-pad, 2003, sao paulo. ieee conference proceedings, 2003.  "
1266," stefanes, m. a.; soares, j.  . coarse grained parallel maximum independent set in convex bipartite  graphs. in: pdpta, 2001, las vegas. proc. of pdpta'2001, 2001. v. i. p.  527-533.  "
1267," stefanes, m. a.; soares, j.  . algoritmo assincrono para floresta geradora minima. in: wpoc, 1998,  buzios. workshop em paralelismo e otimizacao combinatoria - wpoc, 1998.  v. i. p. 1-4.  "
1268," 0.513ma, j. c. w. k. ; stefanes, marco a.  ; higa, c. h. a. ; rozante, l. c. s. . inferring gene regulatory  networks using hybrid parallel computing. lecture notes in computer  science, 2018.  "
1269," stefanes, marco a.;  alvino, l. . a hybrid parallel implementation for the maximum flow  problem. 2018. (apresentacao de trabalho/conferencia ou palestra).  "
1270," araujo, e. ; stefanes, marco a. ;  ferlete, v. o. ; rozante, l. c. s. . multiple sequence alignment using  hybrid parallel computing. 2017. (apresentacao de trabalho/conferencia  ou palestra).  "
1271," stefanes, marco a.. topological colored motifs in reaction graphs. 2014. (apresentacao de trabalho/conferencia ou palestra).  "
1272," stefanes, marco a.;  eloi soares . some results on topological colored motifs in metabolic  networks. 2013. (apresentacao de trabalho/conferencia ou palestra).  "
1273," stefanes, marco a.. membro do comite avaliador do congresso nacional de matematica aplicada e computacional-cnmac. 2017.  "
1274," stefanes, marco a.; higa, c. h.  a.; ribas, a. c. a..  participacao em banca de mariana caravanti de  souza. engenharia reversa de redes de regulacao genica por meio de  modelos graficos probabilisticos. 2018. dissertacao (mestrado em ciencia  da computacao) - universidade federal de mato grosso do sul.  "
1275," moreano, n. b.; stefanes, marco a.;  dantas, b..  participacao em banca de leandro bomkoski feuser. solucoes  paralelas para o problema da selecao de segmentos. 2018. dissertacao  (mestrado em ciencia da computacao) - universidade federal de mato  grosso do sul.  "
1276," stefanes, marco a.; rozante, l. c.  s.; higa, c. h. a..  participacao em banca de jean carlo wai keung ma..  inferencia de redes de regulacao genica usando computacao parelela  hibrida. 2017. dissertacao (mestrado em ciencia da computacao) -  universidade federal de mato grosso do sul.  "
1277," rozante, l. c. s.; song, s. w.; stefanes, marco a..   participacao em banca de fabrizio ferreira borelli. inferencia de  redes de regulacao genica usando algoritmo de busca exaustiva em  clusters de gpus. 2013 - universidade federal do abc.  "
1278," stefanes, m. a.; goldman, a.;  hoshino, e. a..  participacao em banca de roberto aragy xavier junior.  algoritmo bsp/cgm para o problema de fluxo maximo em rede. 2010.  dissertacao (mestrado em ciencia da computacao) - universidade federal  de mato grosso do sul.  "
1279," pagliosa, p. a.; clua, e. g.; stefanes, marco a..   participacao em banca de marcos aurelio martins. tracado de raios para  cenas dinamicas em cuda. 2010. dissertacao (mestrado em ciencia da  computacao) - universidade federal de mato grosso do sul.  "
1280," martinez, fabio viduani; stefanes, marco a.;  song, s. w..  participacao em banca de claudia regina tinos peviani.  algoritmos paralelos realisticos para a maior subsequencia comum. 2009.  dissertacao (mestrado em ciencia da computacao) - universidade federal  de mato grosso do sul.  "
1281," stefanes, m. a..   participacao em banca de robson rossettini de andrade costa. consulta  de resultados eleitorais. 2004. monografia  (aperfeicoamento/especializacao em especializacao em engenharia de  websites)  - universidade federal de mato grosso do sul.  "
1282," stefanes, marco a..  participacao  em banca de diego m. s. zikemura, marcel s. lopes e marcio d.  pereira.implementacao e avaliacao de desempenho de infraestrutura de  nuvem privada em ambiente de cluster. 							2011. trabalho de conclusao de curso (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul.  "
1283," stefanes, marco a..  participacao  em banca de diogo f. santos, leonardo c. kameya e robson l.  oliveira.implementacao de assinaturas digitais utilizando funcoes hash. 							2011. trabalho de conclusao de curso (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul.  "
1284," stefanes, marco a..  participacao  em banca de ivan caldeira sanches e luiz alexandre pacini.implementacao  paralela de problemas em grafos bipartidos convexos. 							2011. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1285," pagliosa, p. a.; stefanes, marco a..   participacao em banca de ilieser tamagmo e rafael freitas  schmid.analise estatica de solidos elasticos pelo metodo dos elementos  finitos em cuda. 							2010. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1286," adi, s.s; stefanes, marco a..   participacao em banca de habib asseiss neto e sergio ronaldo alves de  sousa junior.classificacao de sequencias de rnas nao-codificnates  atraves da distancia de compressao normalizada. 							2008. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1287," stefanes, marco a.; rubinsztejn,  h. k. s..  participacao em banca de alessando dos santos ferreira e  letricia pereira s. avalhais.algoritmos bsp/cgm para arvore geradora  minima. 							2008.  "
1288," stefanes, m. a.;  sotoma, i..  participacao em banca de jose ricardo da silva.estudo  detalhado da ferramenta nmap e formas de protecao em sistemas gnu/linux. 							2006. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1289," stefanes, m. a..  participacao em banca de max de paula brites.criptografia utilizando o sistema rsa. 							2005. trabalho de conclusao de curso (graduacao em analise de sistemas)  - universidade federal de mato grosso do sul.  "
1290," stefanes, m. a..  participacao em banca de robero aragy xavier junior.algoritmos paralelos para arvores geradoras minimas. 							2005. trabalho de conclusao de curso (graduacao em analise de sistemas)  - universidade federal de mato grosso do sul.  "
1291," stefanes, m. a..  participacao em banca de guilherme francisco somera.problema do fluxo maximo. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1292," stefanes, m. a.; mongelli, h..  participacao em banca de renata dos santos rodrigues.um algoritmo cgm para o problema ansv. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1293," stefanes, m. a..   participacao em banca de andrea tieme nakasato.algoritmo genetico  aplicado ao problema de localizacao da cobertura maxima capacitada. 							2003. trabalho de conclusao de curso (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul.  "
1294," stefanes, m. a..  participacao em banca de pedro miranda.sistema de controle difuso de mamdani - aplicacoes: pendulo invertido e outras. 							2003. trabalho de conclusao de curso (graduacao em ciencia da computacao)  - universidade federal de mato grosso do sul.  "
1295," adi, s.s; hoshino, e. a.; stefanes, m. a.. concurso publico para ingresso na carreira de magisterio superior. 							2010. universidade federal de mato grosso do sul.  "
1296," duenha, l. d.; lucina montera cheung; stefanes, marco a.. participacao em banca de concurso professor de nivel superior. 							2009. universidade federal de mato grosso do sul.  "
1297," stefanes, marco a.. banca examinadora de concurso para magisterio de nivel superior. 							2008. universidade federal de mato grosso do sul.  "
1298," stefanes, m. a.;  silva, carlos alberto da; nakazato, karen k. banca examinadora do  concurso publico para ingresso na carreia do magisterio superior da  ufms. 							2006. universidade federal de mato grosso do sul.  "
1299," stefanes, m. a.. banca examinadora de concurso para magisterio de nivel superior. 							2004. universidade estadual de mato grosso do sul.  "
1300," pagliosa, p. a.; stefanes, m. a.; carromeu, c.. banca para selecao de professor substituto. 							2010. 							universidade federal de mato grosso do sul.  "
1301," caceres, e. n.; mongelli, h.; stefanes, marco a.. sbac/wscad. 							2008. 							sociedade brasileira de computacao - porto alegre.  "
1302, 24th recomb international conference on research in computational molecular biology co. 							2020. (simposio).  					 
1303, iii seminario nacional sobre a bncc: uma  outra base e possivel.iii seminario nacional sobre a bncc: uma outra  base e possivel. 2019. (seminario).  
1304, intl. symposium on computer architecture and high performance computingpng. 							2019. (simposio).  					 
1305," pdp 2018 - the 26th euromicro  international conference on parallel, distributed and network-based  processing..hybrid parallel implementation for the maximum flow problem. 							2018. (simposio).  					 "
1306, 17th ieee bibe.miltiple sequence aligniment using hybrid parallel computing. 							2017. (simposio).  					 
1307, wba 2014 - workshop in bioinformatics and algorithms phs ..topological colored motifs in reaction graphs. 2014. (oficina).  					 
