,producoes
115, luis heriberto osinaga peinado. 							estudo de metodologias de suavizacao no dominio espacial  aplicadas em imagens de sensoriamento remoto. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
116, bianca moreira medeiros. 							sistema de gestao de pratica juridica (sgpj). 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
117, kesller keverlon correa da fonseca. 							sistema web para gestao eclesiastica de igrejas evangelicas. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
118, thiago tadeu conceicao moraes. 							sistema softfood para gestao de estabelecimentos fast- food  delivery. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
119, paulo cesar do carmo ribeiro. 							sistema de acompanhamento de desenvolvimento de deficientes. 							2014. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
120," silva, l. e. p.; laitart, k. r. ; peterle, n. p. ; rambo, c. ; mello, c. a. s. ; vidal, v. h. . cadeia de custodia. 2021.                  patente:                 programa de computador.             numero do registro: br512021000563-5, data de registro:                      30/03/2021, titulo: ""cadeia de custodia"" ,  instituicao de registro: inpi - instituto nacional da propriedade  industrial.                    "
121," silva, l. e. p.; bracht, e. c. ; fietz, c. r. . bhcmovel. 2009.  "
122," fermino, l. m. ; silva, l. e. p. ; asseis neto, h. . reconhecedor otico de caracteres em documentos da lingua portuguesa com baixa nitidez. 2013.  "
123," fermino, l. m. ; silva, l. e. p. ; asseis neto, h. . reconhecedor otico de caracteres em documentos da lingua portuguesa com baixa nitidez. 2013.  "
124," silva, l. e. p.; riedner, d. d. t. ; vidal, v. h. ; rodrigues, b. l. a. ; valente, v. o. ; silva, v. l. l. ; guidorizzi, v. a. . tutorar. 2021.                  patente:                 programa de computador.             numero do registro: br512021000562-7, data de registro:                      30/03/2021, titulo: ""tutorar"" , instituicao de  registro: inpi - instituto nacional da propriedade industrial.                    "
