,conferencias,qualis_conferencias,periodicos,qualis_periodicos
657,NA,,NA,
658,NA,,NA,
659,NA,,NA,
660,NA,,NA,
661,NA,,NA,
662,NA,,NA,
663,NA,,NA,
664,NA,,NA,
665,NA,,NA,
666,NA,,NA,
667,NA,,NA,
668,NA,,NA,
669,NA,,NA,
670,NA,,NA,
671,NA,,data,
672,NA,,data,
673,NA,,data,
674,NA,,data,
675,NA,,data,
676,NA,,data,
677,NA,,letronica,
678,NA,,top,
679,NA,,participacao,
680,NA,,participacao,
681,NA,,participacao,
682,NA,,participacao,
683,NA,,participacao,
684,NA,,participacao,
685,NA,,participacao,
686,NA,,participacao,
687,NA,,participacao,
688,NA,,participacao,
689,NA,,participacao,
690,NA,,participacao,
691,NA,,participacao,
692,NA,,participacao,
693,NA,,participacao,
694,NA,,participacao,
695,NA,,participacao,
696,NA,,participacao,
697,NA,,participacao,
698,NA,,participacao,
699,NA,,participacao,
700,NA,,participacao,
701,NA,,participacao,
702,NA,,participacao,
703,NA,,participacao,
704,NA,,participacao,
705,NA,,participacao,
706,NA,,participacao,
707,NA,,participacao,
708,NA,,participacao,
709,NA,,participacao,
710,NA,,participacao,
711,NA,,NA,
712,NA,,letronica,
713,NA,,NA,
714,NA,,NA,
715,NA,,NA,
716,NA,,NA,
717,NA,,NA,
718,NA,,NA,
719,NA,,NA,
720,NA,,NA,
721,ieee international system-on-chip conference,,NA,
722,ieee international symposium on rapid system prototyping,,NA,
723,NA,,NA,
724,NA,,NA,
725,NA,,NA,
726,international conference on industry applications,,NA,
727,NA,,NA,
728,NA,,NA,
729,NA,,NA,
730,NA,,NA,
731,NA,,NA,
732,international symposium on computer architecture,,computer,
733,NA,,NA,
734,NA,,NA,
735,simposio brasileiro de pesquisa operacional,,NA,
736,NA,,NA,
737,international symposium on computer architecture,,computer,
738,NA,,NA,
739,NA,,NA,
740,NA,,NA,
741,international workshop,,NA,
742,NA,,NA,
743,NA,,inteligencia artificial,
744,NA,,NA,
745,NA,,NA,
746,NA,,NA,
747,NA,,NA,
748,NA,,NA,
749,NA,,NA,
750,NA,,NA,
751,NA,,NA,
752,NA,,NA,
753,NA,,NA,
754,NA,,NA,
755,NA,,NA,
756,international symposium on computer architecture,,computer,
757,NA,,NA,
758,NA,,NA,
759,NA,,NA,
760,NA,,NA,
761,NA,,NA,
762,NA,,NA,
763,NA,,NA,
764,NA,,NA,
765,NA,,NA,
766,NA,,NA,
767,NA,,NA,
768,NA,,NA,
769,NA,,NA,
770,NA,,NA,
771,NA,,NA,
772,NA,,NA,
773,NA,,NA,
774,NA,,NA,
775,NA,,NA,
776,NA,,NA,
777,NA,,NA,
778,NA,,NA,
779,NA,,NA,
780,NA,,NA,
781,NA,,NA,
782,NA,,NA,
783,NA,,NA,
784,NA,,NA,
785,NA,,NA,
786,NA,,NA,
787,NA,,NA,
788,NA,,NA,
789,NA,,NA,
790,NA,,NA,
791,NA,,NA,
792,NA,,NA,
793,NA,,NA,
794,NA,,NA,
795,NA,,NA,
796,NA,,NA,
797,NA,,NA,
798,NA,,NA,
799,NA,,NA,
800,NA,,NA,
801,NA,,NA,
802,NA,,NA,
803,NA,,NA,
804,NA,,NA,
805,NA,,NA,
806,NA,,NA,
807,NA,,NA,
808,NA,,NA,
809,NA,,NA,
810,NA,,NA,
811,NA,,NA,
812,NA,,NA,
813,NA,,NA,
814,NA,,NA,
815,NA,,NA,
816,NA,,NA,
817,NA,,NA,
818,NA,,NA,
819,NA,,letronica,
820,NA,,NA,
821,NA,,NA,
822,NA,,NA,
823,NA,,NA,
824,NA,,NA,
825,NA,,NA,
826,NA,,NA,
827,NA,,NA,
828,NA,,NA,
829,NA,,NA,
830,NA,,NA,
831,NA,,NA,
832,NA,,NA,
833,NA,,NA,
834,NA,,NA,
835,NA,,letronica,
836,NA,,letronica,
837,NA,,letronica,
838,NA,,NA,
839,NA,,NA,
840,NA,,NA,
841,NA,,NA,
842,NA,,NA,
843,NA,,data,
844,NA,,data,
845,NA,,data,
846,NA,,data,
847,NA,,data,
848,NA,,data,
849,NA,,letronica,
850,NA,,NA,
851,NA,,top,
852,NA,,NA,
853,NA,,NA,
854,NA,,NA,
855,NA,,NA,
856,NA,,NA,
857,NA,,international journal of agricultural and environmental information systems,
858,NA,,international journal of agricultural and environmental information systems,
859,NA,,international journal of agricultural and environmental information systems,
860,NA,,revista brasileira de biometria,
861,NA,,revista eletronica de iniciacao cientifica,
862,NA,,journal of parallel and distributed computing,
863,NA,,computer,
864,NA,,design automation for embedded systems,
865,NA,,"ieee transactions on circuits and systems. i, regular papers (print)",
866,NA,,computer,
867,NA,,computer,
868,NA,,international journal of high performance systems architecture,
869,NA,,NA,
870,NA,,NA,
871,NA,,NA,
872,NA,,NA,
873,simposio em sistemas computacionais de alto desempenho,,NA,
874,simposio em sistemas computacionais de alto desempenho,,NA,
875,international symposium on computer architecture,,computer,
876,simposio em sistemas computacionais de alto desempenho,,NA,
877,NA,,NA,
878,international symposium on computer architecture,,computer,
879,workshop on applications for multi-core architectures,,computer,
880,ieee international system-on-chip conference,,NA,
881,simposio em sistemas computacionais de alto desempenho,,NA,
882,NA,,NA,
883,ieee frontiers in education conference,,computer,
884,ieee frontiers in education conference,,computer,
885,simposio em sistemas computacionais de alto desempenho,,NA,
886,NA,,NA,
887,NA,,NA,
888,NA,,NA,
889,NA,,NA,
890,NA,,computer,
891,simposio brasileiro de pesquisa operacional,,NA,
892,international conference on industry applications,,NA,
893,brazilian symposium on programming languages,,NA,
894,NA,,NA,
895,NA,,NA,
896,NA,,NA,
897,brazilian symposium on programming languages,,NA,
898,simposio brasileiro de pesquisa operacional,,NA,
899,NA,,NA,
900,NA,,NA,
901,simposio brasileiro de pesquisa operacional,,NA,
902,NA,,NA,
903,international workshop,,NA,
904,NA,,NA,
905,international conference on parallel and distributed processing techniques and applications,,NA,
906,NA,,NA,
907,NA,,NA,
908,NA,,performance evaluation,
909,NA,,NA,
